date,time,location,airline_operator,flight_no,route,aircraft_type,all_aboard,passengers_aboard,crew_aboard,total_fatalities,passenger_fatalities,crew_fatalities,summary,date_time,country,city,superficie,category,brand,survivors,survival_rate,year,fatality_index
1916-10-01,23:45:00,"Potters Bar, England",MILITARY - GERMAN NAVY,,,Zeppelin L-31 (airship),19.0,0.0,19.0,19,0.0,19.0,Shot down in flames by the British 39th Home Defence Squadron.,1916-10-01 23:45:00,England,Potters Bar,False,military,other,0.0,0.0,1916,1.0
1916-11-21,,"Mainz, Germany",MILITARY - GERMAN ARMY,,,Super Zeppelin (airship),28.0,,,27,,,Crashed in a storm.,,Germany,Mainz,False,military,other,1.0,0.0357142857142857,1916,0.9642857142857143
1916-11-28,23:45:00,"Off West Hartlepool, England",MILITARY - GERMAN NAVY,,,Zeppelin L-34 (airship),20.0,,,20,,,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,1916-11-28 23:45:00,England,Off West Hartlepool,False,military,other,0.0,0.0,1916,1.0
1917-03-04,,"Near Gent, Belgium",MILITARY - GERMAN ARMY,,,Airship,20.0,,,20,,,Caught fire and crashed.,,Belgium,Near Gent,False,military,other,0.0,0.0,1917,1.0
1917-03-30,,Off Northern Germany,MILITARY - GERMAN NAVY,,,Schutte-Lanz S-L-9 (airship),23.0,,,23,,,Struck by lightning and crashed into the Baltic Sea.,,Germany,Off Northern Germany,False,military,other,0.0,0.0,1917,1.0
1917-05-14,05:15:00,"Near Texel Island, North Sea",MILITARY - GERMAN NAVY,,,Zeppelin L-22 (airship),21.0,,,21,,,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",1917-05-14 05:15:00,Island,Near Texel Island,False,military,other,0.0,0.0,1917,1.0
1917-06-14,08:45:00,"Off Vlieland Island, North Sea",MILITARY - GERMAN NAVY,,,Zeppelin L-43 (airship),24.0,,,24,,,Shot down by British aircraft.,1917-06-14 08:45:00,Island,Off Vlieland Island,False,military,other,0.0,0.0,1917,1.0
1917-06-17,,"Near Yarmouth, England",,,,Zepplin L-48 (air ship),16.0,,,14,,,Shot down by aircraft.,,England,Near Yarmouth,False,passenger,other,2.0,0.125,1917,0.875
1917-08-21,07:00:00,Off western Denmark,MILITARY - GERMAN NAVY,,,Zeppelin L-23 (airship),18.0,,,18,,,Shot down by British aircraft.,1917-08-21 07:00:00,Denmark,Off western Denmark,False,military,other,0.0,0.0,1917,1.0
1917-10-20,07:45:00,"Near Luneville, France",MILITARY - GERMAN NAVY,,,Zeppelin L-44 (airship),18.0,,,18,,,Shot down by French anti-aircraft fire.,1917-10-20 07:45:00,France,Near Luneville,False,military,other,0.0,0.0,1917,1.0
1918-04-07,21:30:00,Over the Mediterranean,MILITARY - GERMAN NAVY,,,Zeppelin L-59 (airship),23.0,,,23,,,Exploded and crashed into the sea off the southern coast of Italy.,1918-04-07 21:30:00,other,Over the Mediterranean,False,military,other,0.0,0.0,1918,1.0
1918-08-05,,"Off Helgoland Island, Germany",MILITARY - GERMAN NAVY,,,Zeppelin L-70 (airship),22.0,,,22,,,"Shot down by British aircraft crashing from a height of 17,000 ft.",,Germany,Off Helgoland Island,False,military,other,0.0,0.0,1918,1.0
1918-08-11,10:00:00,"Ameland Island, North Sea",MILITARY - GERMAN NAVY,,,Zeppelin L-53 (airship),19.0,,,19,,,Shot down by british aircraft.,1918-08-11 10:00:00,Island,Ameland Island,False,military,other,0.0,0.0,1918,1.0
1918-12-16,,"Elizabeth, New Jersey",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,,United States,Elizabeth,False,passenger,De Havilland,0.0,0.0,1918,1.0
1919-05-25,,"Cleveland, Ohio",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,,United States,Cleveland,False,passenger,De Havilland,0.0,0.0,1919,1.0
1919-07-19,,"Dix Run, Pennsylvania",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,The mail plane crashed under unknown circumstances.,,United States,Dix Run,False,passenger,De Havilland,0.0,0.0,1919,1.0
1919-08-02,,"Verona, Italy",CAPRONI COMPANY,,Venice  Taliedo,Caproni Ca.48,14.0,12.0,2.0,14,12.0,2.0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,,Italy,Verona,False,passenger,other,0.0,0.0,1919,1.0
1919-10-02,,"Newcastle, England",AIRCRAFT TRANSPORT AND TRAVEL,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,,,England,Newcastle,False,passenger,De Havilland,0.0,0.0,1919,1.0
1919-10-14,,"Cantonsville, Maryland",US AERIAL MAIL SERVICE,,,Curtiss R-4LM,1.0,0.0,1.0,1,0.0,1.0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",,United States,Cantonsville,False,passenger,other,0.0,0.0,1919,1.0
1919-10-30,,"Long Valley, New Jersey",US AERIAL MAIL SERVICE,,,De Havilland DH.4,1.0,0.0,1.0,1,0.0,1.0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",,United States,Long Valley,False,passenger,De Havilland,0.0,0.0,1919,1.0
1919-12-11,,"Catherham, Surrey, UK",AIRCRAFT TRAVEL TRANSPORT,,Paris - Hounslow,de Havilland DH-4,1.0,1.0,1.0,1,1.0,1.0,Crashed in a field while attemptting to land.,,other,"Catherham, Surrey",False,passenger,De Havilland,0.0,0.0,1919,1.0
1920-03-10,,"New Paris, Indiana",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",,United States,New Paris,False,passenger,De Havilland,0.0,0.0,1920,1.0
1920-03-30,,"Newark, New Jersey",US AERIAL MAIL SERVICE,,Washington - Newark,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,,United States,Newark,False,passenger,De Havilland,0.0,0.0,1920,1.0
1920-04-10,,"Newark, New Jersey",US AERIAL MAIL SERVICE,,,Curtiss R-4LM,2.0,1.0,1.0,1,0.0,1.0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,,United States,Newark,False,passenger,other,1.0,0.5,1920,0.5
1920-04-11,,"Heller Field, New Jersey",US AERIAL MAIL SERVICE,,,Curtiss JN-4H,2.0,1.0,1.0,1,0.0,1.0,The aircraft crashed while on approach for unknown reasons.,,United States,Heller Field,False,passenger,other,1.0,0.5,1920,0.5
1920-05-12,,"Oskaloosa, Iowa",US AERIAL MAIL SERVICE,,,De Havilland DH-4,2.0,1.0,1.0,1,1.0,0.0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",,United States,Oskaloosa,False,passenger,De Havilland,1.0,0.5,1920,0.5
1920-06-06,,"Cleveland, Ohio",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,The aircraft suffered engine failure and crashed shortly after taking off.,,United States,Cleveland,False,passenger,De Havilland,0.0,0.0,1920,1.0
1920-07-20,,"Cartagena, Columbia",COMPAÑIA COLOMBIANA DE NAVEGACIÓN AÉREA,,,Farman F-40,1.0,1.0,1.0,1,1.0,1.0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,,other,Cartagena,False,passenger,other,0.0,0.0,1920,1.0
1920-08-16,,"Bedford, England",BY AIR,,,Armstrong-Whitworth F-K-8,1.0,0.0,1.0,1,0.0,1.0,The plane crashed during a cargo flight under unknown circumstances.,,England,Bedford,False,passenger,other,0.0,0.0,1920,1.0
1920-08-16,,"College Park, Maryland",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",,United States,College Park,False,passenger,De Havilland,0.0,0.0,1920,1.0
1920-09-01,,"Morristown, New Jersey",US AERIAL MAIL SERVICE,,,Junkers JL-6,2.0,0.0,2.0,2,0.0,2.0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",,United States,Morristown,False,passenger,Junkers,0.0,0.0,1920,1.0
1920-09-15,,"Pemberville, Ohio",US AERIAL MAIL SERVICE,,,Junkers F-13,2.0,,,2,,,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,,United States,Pemberville,False,passenger,Junkers,0.0,0.0,1920,1.0
1920-09-27,,"Hillersburg, Pennsylvania",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,,United States,Hillersburg,False,passenger,De Havilland,0.0,0.0,1920,1.0
1920-10-02,,"Off Port Vendres, France",LATECOERE AIRLINES,,,Salmson 2-A-2,2.0,1.0,1.0,2,1.0,1.0,Crashed into the Mediterranean while on a mail flight.,,France,Off Port Vendres,False,passenger,other,0.0,0.0,1920,1.0
1920-10-05,,"Valencia, Spain",LATECOERE AIRLINES,,,Breguet 14,2.0,1.0,1.0,2,1.0,1.0,While on a mail flight the plane crashed while attempting to land.,,Spain,Valencia,False,passenger,Breguet Aviation,0.0,0.0,1920,1.0
1920-10-15,,"Batavia, Illinois",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,While attempting to land in fog the aircraft hit an obstruction and crashed.,,United States,Batavia,False,passenger,De Havilland,0.0,0.0,1920,1.0
1920-11-07,,"Tie Siding, Wyoming",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,The aircraft crashed into a mountain in poor weather condtions.,,United States,Tie Siding,False,passenger,De Havilland,0.0,0.0,1920,1.0
1920-12-14,12:15:00,"London, England",HANDLEY PAGE TRANSPORT,,London - Paris,Handley Page HP-16,8.0,6.0,2.0,4,2.0,2.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,1920-12-14 12:15:00,England,London,False,passenger,Handley Page,4.0,0.5,1920,0.5
1920-12-24,,"Barcelona, Spain",AEROPOSTALE,,,Breguet 14,1.0,0.0,1.0,1,0.0,1.0,The aircraft stalled and crashed when an engine failed.,,Spain,Barcelona,False,passenger,Breguet Aviation,0.0,0.0,1920,1.0
1921-02-03,,"Mendotta, Minnisota",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,,other,Mendotta,False,passenger,De Havilland,0.0,0.0,1921,1.0
1921-02-09,,"La Crosse, Wisconsin",US AERIAL MAIL SERVICE,,,Junkers F-13,3.0,0.0,3.0,3,0.0,3.0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,,United States,La Crosse,False,passenger,Junkers,0.0,0.0,1921,1.0
1921-02-15,,Off Gibraltar,AEROPOSTALE,,,Breguet 14,2.0,0.0,2.0,2,0.0,2.0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,,other,Off Gibraltar,False,passenger,Breguet Aviation,0.0,0.0,1921,1.0
1921-02-22,,"Elko, Nevada",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,"Shortly after taking off, the aircraft stalled and crashed .",,United States,Elko,False,passenger,De Havilland,0.0,0.0,1921,1.0
1921-04-06,,"Point Cook, Australia",MILITARY - ROYAL AUSTRALIAN AIR FORCE,,,Avro 504,2.0,0.0,0.0,2,0.0,0.0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",,Australia,Point Cook,False,military,Avro Canada,0.0,0.0,1921,1.0
1921-04-21,,"Mitchel Field, NY",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,After taking off the aircraft stalled and crashed.,,other,Mitchel Field,False,passenger,De Havilland,0.0,0.0,1921,1.0
1921-04-29,,"Cleveland, Ohio",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",,United States,Cleveland,False,passenger,De Havilland,0.0,0.0,1921,1.0
1921-05-17,,"Rock Springs, Wyoming",US AERIAL MAIL SERVICE,,,"De Havilland DH-4De Havilland DH-4",1.0,0.0,1.0,1,0.0,1.0,Crashed while attempting to land.,,United States,Rock Springs,False,passenger,De Havilland,0.0,0.0,1921,1.0
1921-08-14,,"Toulouse, France",AEROPOSTALE,,,Breguet 14,2.0,,,2,,,,,France,Toulouse,False,passenger,Breguet Aviation,0.0,0.0,1921,1.0
1921-08-24,17:40:00,"River Humber, England",MILITARY - ROYAL AIRSHIP WORKS,,,Royal Airship Works ZR-2 (airship),49.0,0.0,49.0,43,0.0,43.0,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude.",1921-08-24 17:40:00,England,River Humber,True,military,other,6.0,0.12244897959183676,1921,0.8775510204081632
1921-09-06,,"Paris, France",FRANCO-ROUMAINE,,Warsaw - Prague - Strasbourg - Paris,Potez IX,5.0,4.0,1.0,5,4.0,1.0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,,France,Paris,False,passenger,other,0.0,0.0,1921,1.0
1921-12-05,,"Near Murchinson River, Australia",WEST AUSTRALIAN AIRWAYS,,Geraldton - Derby,Bristol 28 Tourer,2.0,0.0,2.0,2,0.0,2.0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,,Australia,Near Murchinson River,True,passenger,Bristol Aeroplane Company,0.0,0.0,1921,1.0
1922-01-14,,"Paris, France",HANDLEY PAGE TRANSPORT,,,Handley Page O/10,5.0,4.0,1.0,5,4.0,1.0,Crashed at Le Bourget field.,,France,Paris,False,passenger,Handley Page,0.0,0.0,1922,1.0
1922-02-21,,"Near Norfolk, Virginia",MILITARY - U.S. ARMY AIR SERVICE,,,Dirigible Roma (airship),45.0,,,34,,,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,,United States,Near Norfolk,False,military,other,11.0,0.24444444444444446,1922,0.7555555555555555
1922-03-22,11:40:00,North Atlantic Ocean,AERO LIMITED,,Miami - Bimini,Aeromarine Model 85 (flying boat),6.0,5.0,1.0,5,5.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",1922-03-22 11:40:00,other,North Atlantic Ocean,True,passenger,other,1.0,0.16666666666666663,1922,0.8333333333333334
1922-04-07,13:15:00,"Grandvilliers, France",DAIMLER AIRWAYS / GRANDS EXPRESS AERIENS,,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,7.0,5.0,2.0,7,5.0,2.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1922-04-07 13:15:00,France,Grandvilliers,False,passenger,De Havilland,0.0,0.0,1922,1.0
1922-04-08,,"Pao Ting Fou, China",,,Test,,17.0,0.0,17.0,17,0.0,17.0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,,China,Pao Ting Fou,False,passenger,other,0.0,0.0,1922,1.0
1922-06-03,,"Off Folkestone, Kent, England",CIE DES MESSAGERIES AERIENNES,,Croydon - Paris,Bleriot Spad 27,3.0,2.0,1.0,3,2.0,1.0,Went down into the English Channel while en route.,,England,"Off Folkestone, Kent",False,passenger,other,0.0,0.0,1922,1.0
1922-07-04,,"Fuhlsbuttel, Germany",,,Hamburg - Berlin,LVG C VI,3.0,2.0,1.0,2,1.0,1.0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",,Germany,Fuhlsbuttel,False,passenger,other,1.0,0.33333333333333337,1922,0.6666666666666666
1922-07-16,16:45:00,"Near Saverne, Lorraine, France",COMPAGNIE FRANCO-ROUMAINE DE NAVIGAATION AERIENNE,,Strasbourg - Paris,Potez 29,5.0,4.0,1.0,5,4.0,1.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,1922-07-16 16:45:00,France,"Near Saverne, Lorraine",False,passenger,other,0.0,0.0,1922,1.0
1922-07-26,,"Cadix, Spain",GRANDS EXPRESS AERIENS,,,Breguet 14,3.0,2.0,1.0,3,2.0,1.0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",,Spain,Cadix,False,passenger,Breguet Aviation,0.0,0.0,1922,1.0
1922-09-07,,"Indianapolis, Indiana",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,The plane stalled shortly after takeoff and crashed.,,United States,Indianapolis,False,passenger,De Havilland,0.0,0.0,1922,1.0
1922-10-02,,"Venice, Italy",DE HAVILLAND AIR SERVICE,,Venice - London,de Havilland DH-9,4.0,3.0,1.0,4,3.0,1.0,Shortly after taking off the plane crashed into the sea and sank.,,Italy,Venice,False,passenger,De Havilland,0.0,0.0,1922,1.0
1922-10-25,,"Larache, Morocco",GRANDS EXPRESS AERIENS,,,Breguet 14,2.0,1.0,1.0,2,1.0,1.0,Crashed under unknown circumstances.,,Morocco,Larache,False,passenger,Breguet Aviation,0.0,0.0,1922,1.0
1922-12-03,,"Fez, Morocco",GRANDS EXPRESS AERIENS,,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,1.0,0.0,1.0,1,0.0,1.0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,,Morocco,Fez,False,passenger,Breguet Aviation,0.0,0.0,1922,1.0
1923-01-10,,"Ajaccio, France",AMEE DE L'AIR,,,Lioré-et-Olivier H-13,4.0,2.0,2.0,3,1.0,2.0,The plane crashed mid-air due to a structural failure of the tail.,,France,Ajaccio,False,passenger,other,1.0,0.25,1923,0.75
1923-01-17,,"Barcelona, Spain",GRANDS EXPRESS AERIENS,,,Breguet 14,1.0,0.0,1.0,1,0.0,1.0,Crashed into a mountain during a snowstorm.,,Spain,Barcelona,False,passenger,Breguet Aviation,0.0,0.0,1923,1.0
1923-01-18,,"Cheyenne, Wyoming",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,Crashed during a mail flight.,,United States,Cheyenne,False,passenger,De Havilland,0.0,0.0,1923,1.0
1923-02-26,,"Meadville, Pennsylvania",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,,United States,Meadville,False,passenger,De Havilland,0.0,0.0,1923,1.0
1923-05-14,13:42:00,"Near Amiens, Picrdie, France",GRANDS EXPRESS AERIENS (AIR UNION),,Paris - London,Farman F-60 Goliath,6.0,4.0,2.0,6,4.0,2.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",1923-05-14 13:42:00,France,"Near Amiens, Picrdie",False,passenger,other,0.0,0.0,1923,1.0
1923-08-27,17:30:00,"East Mallling, United Kingdom",AIR UNION,,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,11.0,9.0,2.0,1,1.0,0.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",1923-08-27 17:30:00,United Kingdom,East Mallling,False,passenger,other,10.0,0.9090909090909091,1923,0.09090909090909091
1923-08-27,,"Bucharest, Romania",CAMPAGNIE FRANCE ROUMAINE,,,Blériot Spad 46,2.0,1.0,1.0,2,1.0,1.0,Crashed while on approach to Bucharesst.,,Oman,Bucharest,False,passenger,other,0.0,0.0,1923,1.0
1923-09-07,,"Colton, Ohio",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,Crashed during an emergency landing attempt.,,United States,Colton,False,passenger,De Havilland,0.0,0.0,1923,1.0
1923-09-14,,"Near Ivinghoe, Buckinghamshire, England",DAIMLER AIRWAYS,,Croydon - Manchester,de Havilland DH-34,5.0,3.0,2.0,5,3.0,2.0,Crashed while attempting a forced landing after encountering heavy rain.,,England,"Near Ivinghoe, Buckinghamshire",False,passenger,De Havilland,0.0,0.0,1923,1.0
1923-11-18,,Russia,CCCP,,,Junkers F-13,5.0,2.0,3.0,3,1.0,2.0,Crashed during a training flight.,,Russia,Russia,False,passenger,Junkers,2.0,0.4,1923,0.6
1923-12-06,,"Castalia, Ohio",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,Crashed under unknown circumstances.,,United States,Castalia,False,passenger,De Havilland,0.0,0.0,1923,1.0
1923-12-23,,Over the Mediterranean Sea,MILITARY - FRENCH NAVY,,Toulon - Algiers,Zeppelin Dixmunde (airship),52.0,,,52,,,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",,other,Over the Mediterranean Sea,True,military,other,0.0,0.0,1923,1.0
1923-12-24,,"Egbert, WY",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,Crashed into a montain in poor weather conditions.,,other,Egbert,False,passenger,De Havilland,0.0,0.0,1923,1.0
1924-03-07,,"Grampian, Pennsylvania",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,Crashed during a snowstorm.,,United States,Grampian,False,passenger,De Havilland,0.0,0.0,1924,1.0
1924-04-24,,Over the English Channel,KLM ROYAL DUTCH AIRLINES,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,3.0,2.0,1.0,3,2.0,1.0,The aircraft disappeared over the North Sea. The plane and passengers were never found.,,other,Over the English Channel,True,passenger,Fokker,0.0,0.0,1924,1.0
1924-06-08,,"Barranquilla, Colombia",SCADTA,,Barranquilla - Bogota,Junkers F-13,5.0,3.0,2.0,5,3.0,2.0,Stalled after taking off and crashed into houses..,,Colombia,Barranquilla,False,passenger,Junkers,0.0,0.0,1924,1.0
1924-08-01,,United States,US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",,United States,United States,False,passenger,De Havilland,0.0,0.0,1924,1.0
1924-11-06,,"Cabrerolles, France",GRANDS EXPRESS AERIENS,,,Breguet 14,1.0,0.0,1.0,1,0.0,1.0,"While en route the pilot encountered thunderstorms, lost control and crashed.",,France,Cabrerolles,False,passenger,Breguet Aviation,0.0,0.0,1924,1.0
1924-12-21,,"Goshen, Indiana",US AERIAL MAIL SERVICE,,,De Havilland DH-4,1.0,0.0,1.0,1,0.0,1.0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",,United States,Goshen,False,passenger,De Havilland,0.0,0.0,1924,1.0
